algorithm,test1_mean,test1_std,test2_mean,test2_std,test3_mean,test3_std
DWM (ours),0.6828206380208334,0.12718217190291461,0.6465386284722222,0.1607747802267474,0.5538736979166666,0.021771449273505685
DWM_FULL,0.6652018229166666,0.06536250674734728,0.6232096354166666,0.08474098859331826,0.523681640625,0.052186165067308526
DWM_FULL_3,0.6772054036458334,0.06963962438553652,0.6373697916666666,0.12583969790634275,0.5145670572916666,0.059048393489077686
DWM_NEW,0.6507568359375,0.16067787450495666,0.5845811631944444,0.21444661333154552,0.425048828125,0.048478361552850326
DWM_NEW_NEW,0.6214192708333334,0.18615307745973883,0.5459526909722222,0.15218580559075873,0.4441731770833333,0.012090097485305186
DWM_NEW_NEW_ADD,0.7045084635416666,0.061108639033727,0.6289605034722222,0.08401974796428918,0.5296223958333334,0.05598455598720119
FCDL,0.5802408854166666,0.12795608675214398,0.5254448784722222,0.14701954227646005,0.4891764322916667,0.1007287453001901
GNN,0.3572998046875,0.018364584974900847,0.2652994791666667,0.031648008638864855,0.22062174479166666,0.034926049354934124
MLP,0.322998046875,0.029535718710934113,0.3128797743055555,0.016966423552211327,0.332763671875,0.017822265625
NCD,0.3679606119791667,0.019289169523411673,0.37934027777777785,0.013795645629953628,0.431640625,0.01915998452952483
