algorithm,seed,test1_acc,test2_acc,test3_acc,final_step
GNN,2,-1.596489429473877,-1.2608667612075806,-1.6676104068756104,11399
DWM (ours),1,-2.452258586883545,-2.9308199882507324,-3.260120391845703,8299
FCDL,1,0.503173828125,0.49365234375,0.451171875,6999
FCDL,6,0.7061767578125,0.5564778645833334,0.560546875,6999
FCDL,3,0.705078125,0.3846028645833333,0.40869140625,6999
NCD,1,-17.326244354248047,-4.084228038787842,-3.588820219039917,6699
FCDL,5,0.6737060546875,0.5478515625,0.439208984375,6999
MLP,1,-1.4063727855682373,-1.7130630016326904,-2.3283629417419434,14999
MLP,3,-88.79914855957031,-13.7974853515625,-8.546353340148926,14999
GNN,1,-1.4303476810455322,-2.1465351581573486,-2.8622589111328125,11399
FCDL,7,0.560791015625,0.4767252604166667,0.45166015625,6999
FCDL,2,0.4085693359375,0.3758138020833333,0.409912109375,6999
GNN,3,-1.6581672430038452,-1.412665843963623,-2.292083740234375,11399
DWM (ours),3,-3.7884669303894043,-3.7867867946624756,-5.722428321838379,8299
FCDL,8,0.4527587890625,0.4098307291666667,0.414306640625,6999
MLP,2,-1.5344871282577515,-1.8458763360977173,-1.7772800922393799,14999
NCD,2,-3.3733859062194824,-6.637516021728516,-4.808209419250488,6699
DWM (ours),2,-3.026074171066284,-17.324260711669922,-5.110550880432129,8299
FCDL,4,0.4254150390625,0.42236328125,0.424072265625,6999
NCD,3,-2.3910460472106934,-3.6748147010803223,-4.959260940551758,6699
